,POPESTIMATE,X..Adults.with.Obesity,Trade_2020,Employment.Location.Quotient.Relative.to.U.S._1,Asian,num_competitor,college_cnt,income_median,pop_belowPovertyThreshold,selfstorage_count,shopping_mall_cnt,POPESTIMATE_nor,X..Adults.with.Obesity_nor,Trade_2020_nor,Employment.Location.Quotient.Relative.to.U.S._1_nor,Asian_nor,num_competitor_nor,college_cnt_nor,income_median_nor,pop_belowPovertyThreshold_nor,selfstorage_count_nor,shopping_mall_cnt_nor,Clusters,State,County,MF_exist,nm_MF
596,51054,31.6,0.0,0.93,428,0,0,690916.0,33.2,0,0,0.009177850510219547,0.541501976284585,0.0,0.7000000000000001,0.0011084665608271024,0.0,0.0,0.027580765874977035,0.01378910259270829,0.0,0.0,0,Illinois,Grundy,0,0
597,8116,28.9,33710.0,0.61,55,0,0,285010.0,56.4,0,0,0.0008345620210740998,0.4347826086956521,0.0007976310429010506,0.24285714285714285,0.00014244313281656693,0.0,0.0,0.004413669081377976,0.02414208576911063,0.0,0.0,0,Illinois,Hamilton,0,0
598,17708,30.4,55796.0,0.73,59,0,0,996959.0,97.0,0,0,0.0026983848164507623,0.4940711462450592,0.0013202201622576986,0.41428571428571426,0.0001528026333850445,0.0,0.0,0.045048179029755324,0.042259806327814724,0.0,0.0,0,Illinois,Hancock,0,0
599,3821,29.4,0.0,0.94,0,0,0,207679.0,8.7,0,0,0.0,0.4545454545454545,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0028559953590075416,0.0,0.0,0,Illinois,Hardin,0,0
600,6646,34.5,21424.0,0.82,45,0,0,561989.0,82.2,0,0,0.0005489261256191693,0.6561264822134387,0.0005069251694782589,0.5428571428571428,0.00011654438139537293,0.0,0.0,0.020222253588121592,0.035655317060109784,0.0,0.0,0,Illinois,Henderson,0,0
601,48913,32.6,204290.0,0.75,233,0,0,1188417.5,184.6,0,0,0.008761832515546754,0.5810276679841897,0.0048338192154926025,0.4428571428571429,0.0006034409081138198,0.0,0.0,0.05597567850366624,0.08135124280423045,0.0,0.0,0,Illinois,Henry,0,0
602,27114,30.4,191920.0,0.92,100,0,0,1547037.5,176.1,0,0,0.004526065927096393,0.4940711462450592,0.004541125771390378,0.6857142857142858,0.00025898751421193987,0.0,0.0,0.0764439254675458,0.07755812396804855,0.0,0.0,0,Illinois,Iroquois,0,0
603,56750,24.5,0.0,0.79,1972,2,2,1105005.0,115.3,0,1,0.010284641027574162,0.2608695652173913,0.0,0.5000000000000001,0.0051072337802594535,0.002758620689655172,0.017857142857142856,0.051214907632341156,0.05042616805747691,0.0,0.011494252873563218,0,Illinois,Jackson,0,0
604,9610,23.7,36876.0,0.77,10,0,0,532922.0,25.1,0,0,0.0011248613597201313,0.2292490118577075,0.0008725435282711107,0.4714285714285715,2.5898751421193983e-05,0.0,0.0,0.01856325371499938,0.010174483466464369,0.0,0.0,0,Illinois,Jasper,0,0
605,37684,37.5,232905.0,0.91,453,0,1,819077.0,148.0,0,1,0.006579924032510417,0.7747035573122529,0.005510894632063755,0.6714285714285715,0.0011732134393800874,0.0,0.008928571428571428,0.03489555868948199,0.06501851934490607,0.0,0.011494252873563218,0,Illinois,Jefferson,0,0
606,21773,31.5,77995.0,0.89,74,0,1,578526.0,55.2,0,0,0.003488255506943478,0.5375494071146245,0.001845483037409298,0.6428571428571429,0.00019165076051683548,0.0,0.008928571428571428,0.021166103345641184,0.02360658663929672,0.0,0.0,0,Illinois,Jersey,0,0
607,21235,26.0,115337.0,0.89,0,0,0,626221.0,155.0,0,0,0.003383716655409633,0.3201581027667984,0.002729052850640121,0.6428571428571429,0.0,0.0,0.0,0.023888296862294562,0.06814226426882057,0.0,0.0,0,Illinois,JoDaviess,0,0
