,zip code,num_competitor,county,city,state,population
946,7083,9,Union,Union,New Jersey,55465.0
947,33165,9,Miami-Dade,Miami,Florida,54497.0
948,10032,9,New York,New York,New York,59527.0
949,70817,9,East Baton Rouge,Baton Rouge,Louisiana,34491.0
950,27713,9,Durham,Durham,North Carolina,55516.0
951,26505,9,Monongalia,Morgantown,West Virginia,39487.0
952,12601,9,Dutchess,Poughkeepsie,New York,41037.0
953,77084,9,Harris,Houston,Texas,108161.0
954,72701,9,Washington,Fayetteville,Arkansas,45396.0
955,72712,9,Benton,Bentonville,Arkansas,60096.0
956,37363,9,Hamilton,Ooltewah,Tennessee,41503.0
957,232,9,0,0,0,0.0
